cuda:0
Training from scratch
Training dataset loaded: Number of batches: 1563, Number of images: 50000
Steps: 28935/156300 	 loss (ema): 0.057 	 Time elapsed: 1.932 hr
Steps: 29035/156300 	 loss (ema): 0.055 	 Time elapsed: 1.938 hr
Steps: 29135/156300 	 loss (ema): 0.056 	 Time elapsed: 1.945 hr
Steps: 29235/156300 	 loss (ema): 0.048 	 Time elapsed: 1.952 hr
Steps: 29335/156300 	 loss (ema): 0.048 	 Time elapsed: 1.958 hr
Steps: 29435/156300 	 loss (ema): 0.051 	 Time elapsed: 1.965 hr
Steps: 29535/156300 	 loss (ema): 0.056 	 Time elapsed: 1.972 hr
Steps: 29635/156300 	 loss (ema): 0.051 	 Time elapsed: 1.978 hr
Steps: 29698/156300 	 loss (ema): 0.058 	 Time elapsed: 1.983 hr
Steps: 29798/156300 	 loss (ema): 0.055 	 Time elapsed: 1.989 hr
Steps: 29898/156300 	 loss (ema): 0.051 	 Time elapsed: 1.996 hr
Steps: 29998/156300 	 loss (ema): 0.057 	 Time elapsed: 2.003 hr
Steps: 30098/156300 	 loss (ema): 0.056 	 Time elapsed: 2.009 hr
Steps: 30198/156300 	 loss (ema): 0.055 	 Time elapsed: 2.016 hr
Steps: 30298/156300 	 loss (ema): 0.058 	 Time elapsed: 2.023 hr
Steps: 30398/156300 	 loss (ema): 0.053 	 Time elapsed: 2.029 hr
Steps: 30498/156300 	 loss (ema): 0.053 	 Time elapsed: 2.036 hr
Steps: 30598/156300 	 loss (ema): 0.057 	 Time elapsed: 2.043 hr
Steps: 30698/156300 	 loss (ema): 0.058 	 Time elapsed: 2.050 hr
Steps: 30798/156300 	 loss (ema): 0.053 	 Time elapsed: 2.056 hr
Steps: 30898/156300 	 loss (ema): 0.043 	 Time elapsed: 2.063 hr
Steps: 30998/156300 	 loss (ema): 0.055 	 Time elapsed: 2.070 hr
Steps: 31098/156300 	 loss (ema): 0.054 	 Time elapsed: 2.076 hr
Steps: 31198/156300 	 loss (ema): 0.057 	 Time elapsed: 2.083 hr
Steps: 31261/156300 	 loss (ema): 0.049 	 Time elapsed: 2.087 hr
Steps: 31361/156300 	 loss (ema): 0.052 	 Time elapsed: 2.094 hr
Steps: 31461/156300 	 loss (ema): 0.058 	 Time elapsed: 2.101 hr
Steps: 31561/156300 	 loss (ema): 0.054 	 Time elapsed: 2.107 hr
Steps: 31661/156300 	 loss (ema): 0.061 	 Time elapsed: 2.114 hr
Steps: 31761/156300 	 loss (ema): 0.047 	 Time elapsed: 2.121 hr
Steps: 31861/156300 	 loss (ema): 0.053 	 Time elapsed: 2.127 hr
Steps: 31961/156300 	 loss (ema): 0.045 	 Time elapsed: 2.134 hr
Steps: 32061/156300 	 loss (ema): 0.045 	 Time elapsed: 2.141 hr
Steps: 32161/156300 	 loss (ema): 0.042 	 Time elapsed: 2.147 hr
Steps: 32261/156300 	 loss (ema): 0.052 	 Time elapsed: 2.154 hr
Steps: 32361/156300 	 loss (ema): 0.056 	 Time elapsed: 2.160 hr
Steps: 32461/156300 	 loss (ema): 0.058 	 Time elapsed: 2.167 hr
Steps: 32561/156300 	 loss (ema): 0.059 	 Time elapsed: 2.174 hr
Steps: 32661/156300 	 loss (ema): 0.061 	 Time elapsed: 2.180 hr
Steps: 32761/156300 	 loss (ema): 0.048 	 Time elapsed: 2.187 hr
